scatter_751,diam_751,volume_751,scatter_740,diam_740,volume_740
7.97151155912,11.68,834.309426736838,5.53577191605556,11.68,834.309426736838
8.16808606736,11.84,869.067940835513,5.67228199122222,11.84,869.067940835513
8.2663129528,12,904.77868423386,5.74049510611111,12,904.77868423386
8.24341130424,12.16,941.454524895391,5.7245911835,12.16,941.454524895391
8.1146124724,12.32,979.108330783614,5.63514755027778,12.32,979.108330783614
7.93754421392,12.48,1017.75296986204,5.51218348188889,12.48,1017.75296986204
7.77401331688,12.64,1057.40131009417,5.39862035894444,12.64,1057.40131009417
7.6725592128,12.8,1098.06621944352,5.32816612,12.8,1098.06621944352
7.65948050504,12.96,1139.7605658736,5.31908368405556,12.96,1139.7605658736
7.7347613008,13.12,1182.49721734792,5.37136201444444,13.12,1182.49721734792
7.87167368936,13.28,1226.28904182999,5.46644006205556,13.28,1226.28904182999
